,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
40,8865-TNMNX,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.54999923706055,1826.7,No
41,9489-DEDVP,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.19999694824219,417.5,No
42,9867-JCZSP,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,344.5,No
43,4671-VJLCL,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.8499984741211,1660.0,No
44,4080-IIARD,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.19999694824219,2180.55,No
45,3714-NTNFO,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,2835.9,No
46,5948-UJZLF,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,45.15,No
47,7760-OYPDY,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.6500015258789,2730.85,Yes
48,7639-LIAYI,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,5437.1,No
49,2954-PIBKO,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.1500015258789,20.2,No
50,8012-SOUDQ,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,6981.35,No
51,9420-LOJKX,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.0999984741211,5794.45,Yes
52,6575-SUVOI,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,747.2,No
53,7495-OOKFY,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.6500015258789,1267.95,Yes
54,4667-QONEA,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.8499984741211,3674.95,No
55,1658-BYGOY,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.44999694824219,1275.6,Yes
56,8769-KKTPH,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.6500015258789,5893.9,No
57,5067-XJQFU,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.44999694824219,724.65,No
58,3957-SQXML,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.950000762939453,1536.75,No
59,5954-BDFSG,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,3615.6,No
60,0434-CSFON,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,607.3,No
61,1215-FIGMP,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9000015258789,4154.55,No
62,0526-SXDJP,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.099998474121094,2184.35,No
63,0557-ASKVU,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.400001525878906,1852.85,No
64,5698-BQJOH,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4000015258789,77.15,Yes
65,5122-CYFXA,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.30000305175781,847.8,No
66,8627-ZYGSZ,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9000015258789,2390.45,No
67,3410-YOQBQ,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.19999694824219,1923.5,No
68,3170-NMYVV,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.149999618530273,1493.2,No
69,7410-OIEDU,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.8499984741211,338.1,No
70,2273-QCKXA,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.04999923706055,3030.6,No
71,0731-EBJQB,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.399999618530273,75.35,No
72,1891-QRQSA,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.5999984741211,2184.85,No
73,8028-PNXHQ,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1031.4,No
74,5630-AHZIL,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,921.3,No
75,2673-CXQEU,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,3875.4,No
76,6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.650001525878906,3124.5,No
77,5590-ZSKRV,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.650001525878906,144.15,No
78,0191-ZHSKZ,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,6689.0,No
79,3887-PBQAO,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.899999618530273,1451.1,No
80,5919-TMRGD,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.3499984741211,6368.2,Yes
81,8108-UXRQN,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.54999923706055,3729.6,No
82,9191-MYQKX,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.1500015258789,350.1,Yes
83,9919-YLNNG,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.80000305175781,2847.2,No
84,0318-ZOPWS,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.149999618530273,452.35,No
85,4445-ZJNMU,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.30000305175781,1494.5,No
86,4808-YNLEU,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.150001525878906,930.45,No
87,1862-QRWPE,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.649999618530273,41.85,No
88,2796-NNUFI,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.950000762939453,1272.05,No
89,3016-KSVCP,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,475.1,No
90,4767-HZZHQ,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05000305175781,673.1,No
91,2424-WVHPL,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.69999694824219,208.7,No
92,7233-PAHHL,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,150.75,No
93,6067-NGCEU,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05000305175781,3199.0,No
94,9848-JQJTX,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9000015258789,5844.65,No
95,8637-XJIVR,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.94999694824219,2462.6,Yes
96,9803-FTJCG,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.8499984741211,6263.8,No
97,0278-YXOOG,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.049999237060547,3403.4,Yes
98,3212-KXOCR,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,237.75,No
99,4598-XLKNJ,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,221.35,Yes
100,6380-ARCEH,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.200000762939453,75.3,No
101,3679-XASPY,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.450000762939453,1672.1,No
102,7123-WQUHX,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,7881.2,No
103,5386-THSLQ,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.54999923706055,2320.8,No
104,3192-NQECA,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,370.5,Yes
105,6180-YBIQI,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.299999237060547,4062.2,No
106,6728-DKUCO,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.1500015258789,3043.7,No
107,9750-BOOHV,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.149999618530273,2723.4,No
108,8597-CWYHH,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.3499984741211,1081.25,No
109,2848-YXSMW,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.399999618530273,4097.05,No
110,0486-HECZI,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,632.2,Yes
111,4549-ZDQYY,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95000076293945,4042.3,No
112,5712-AHQNN,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.6500015258789,164.85,No
113,4846-WHAFZ,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,8166.8,Yes
114,5256-SKJGO,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.599998474121094,4113.7,No
115,3071-VBYPO,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.8499984741211,3047.15,No
116,9560-BBZXK,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.049999237060547,70.4,No
117,5299-RULOA,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,4193.4,Yes
118,8402-OOOHJ,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.649999618530273,3729.75,No
119,9445-ZUEQE,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.19999694824219,399.45,No
120,1091-SOZGA,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.80000305175781,331.3,No
121,2928-HLDBA,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.700000762939453,1964.6,No
122,0404-SWRVG,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4000015258789,1336.15,Yes
123,6497-TILVL,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.70000076293945,1147.45,No
124,7219-TLZHO,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.850000381469727,486.05,No
125,4622-YNKIJ,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.94999694824219,1078.9,No
126,4412-YLTKF,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05000305175781,5925.75,Yes
127,6734-PSBAW,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.549999237060547,7804.15,No
128,3930-ZGWVE,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,4747.2,No
129,2639-UGMAZ,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45000076293945,1028.9,No
130,2876-GZYZC,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.94999694824219,226.45,No
131,6207-WIOLX,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.599998474121094,4364.1,Yes
132,8587-XYZSF,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.54999923706055,4692.55,No
133,3091-FYHKI,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45000076293945,2433.9,Yes
134,2372-HWUHI,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.349998474121094,1217.25,Yes
135,7799-LGRDP,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.700000762939453,19.75,No
136,7850-VWJUU,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,154.3,No
137,3774-VBNXY,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.200000762939453,6382.55,No
138,6217-KDYWC,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.600000381469727,7623.2,No
139,0390-DCFDQ,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.44999694824219,1261.45,Yes
140,3146-MSEGF,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05000305175781,89.25,No
141,4080-OGPJL,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.1500015258789,86.05,Yes
142,1095-WGNGG,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05000305175781,6779.05,No
143,2636-SJDOU,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.30000305175781,4345.0,No
144,1131-QQZEB,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.950000762939453,82.85,No
145,5716-EZXZN,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05000305175781,1714.55,No
146,6837-BJYDQ,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.600000381469727,893.2,No
147,2135-RXIHG,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.650001525878906,810.85,Yes
148,6440-DKQGE,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,6347.55,No
149,3466-BYAVD,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1123.65,No
150,3780-YVMFA,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55000305175781,43.15,No
151,3874-EQOEP,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,35.1,Yes
152,1679-JRFBR,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.1500015258789,1388.0,No
153,9073-ZZIAY,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.0999984741211,3851.45,No
154,3077-RSNTJ,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.700000762939453,1743.5,No
155,6551-GNYDG,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9000015258789,2638.1,No
156,9167-APMXZ,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.1500015258789,946.95,No
157,2749-CTKAJ,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.149999618530273,1114.85,No
158,6371-NZYEG,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1777.6,No
159,7554-NEWDD,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.700000762939453,684.85,No
160,8992-VONJD,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,74.35,No
161,0867-MKZVY,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4000015258789,1312.45,Yes
162,4482-EWFMI,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.69999694824219,159.2,No
163,4648-YPBTM,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9000015258789,610.2,No
164,2907-ILJBN,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.600000381469727,404.35,No
165,6345-FZOQH,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.899999618530273,69.65,No
166,3376-BMGFE,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9000015258789,6363.45,Yes
167,5997-OPVFA,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05000305175781,4124.65,No
168,3445-HXXGF,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.29999923706055,713.1,Yes
169,1159-WFSGR,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.399999618530273,950.75,No
170,7654-YWJUF,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,19.65,No
171,1875-QIVME,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4000015258789,505.95,Yes
172,6727-IOTLZ,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.94999694824219,1149.65,No
173,0691-JVSYA,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.8499984741211,169.65,Yes
174,5918-VUKWP,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.549999237060547,526.7,No
175,1744-JHKYS,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.700000762939453,393.15,No
176,2656-FMOKZ,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.44999694824219,1147.0,Yes
177,2070-FNEXE,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.44999694824219,3021.6,Yes
178,5947-SGKCL,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.3499984741211,5718.2,No
179,3712-PKXZA,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.549999237060547,191.35,No
180,6317-YPKDH,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.950000762939453,4539.6,Yes
181,6582-OIVSP,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.29999923706055,6397.6,No
182,9367-WXLCH,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,280.4,Yes
183,5524-KHNJP,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2718.3,No
184,1918-ZBFQJ,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,5711.05,Yes
185,1024-GUALD,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.799999237060547,3478.15,Yes
186,4827-USJHP,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.79999923706055,36.45,No
187,8167-GJLRN,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.399999618530273,4133.95,No
188,0956-SYCWG,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.649999618530273,2917.65,No
189,8017-UVSZU,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.599998474121094,54.3,No
190,7100-FQPRV,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9000015258789,2964.8,No
191,2472-OVKUP,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,2198.3,Yes
192,2984-RGEYA,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,1189.9,No
193,9680-NIAUV,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.69999694824219,1914.5,No
194,2146-EGVDT,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.299999237060547,2001.5,No
195,2604-IJPDU,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55000305175781,5336.35,No
196,9178-JHUVJ,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.100000381469727,7238.6,No
197,6168-YBYNP,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.3499984741211,7998.8,No
198,7255-SSFBC,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,3825.85,No
199,3645-DEYGF,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,5703.25,No
200,9323-HGFWY,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9000015258789,7397.0,No
201,8544-GOQSH,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05000305175781,164.6,No
202,3363-DTIVD,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55000305175781,6555.2,No
203,7018-WBJNK,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.30000305175781,225.65,No
204,9142-KZXOP,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.8499984741211,955.75,No
205,7674-YTAFD,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.94999694824219,3382.3,No
206,6348-SNFUS,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45000076293945,2313.8,No
207,1285-OKIPP,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9000015258789,933.3,Yes
208,7825-ECJRF,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.5999984741211,780.85,Yes
209,1347-KTTTA,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.44999694824219,7852.4,No
210,7841-TZDMQ,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,3184.25,Yes
211,4195-NZGTA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,764.95,No
212,7157-SMCFK,1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2763.0,No
213,4709-LKHYG,0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,1614.7,No
214,2504-DSHIH,1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.80000305175781,145.4,No
215,0699-NDKJM,0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,156.25,No
216,9286-BHDQG,1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,1604.5,No
217,0230-WEQUW,1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.599998474121094,270.15,No
218,2040-LDIWQ,1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.19999694824219,0.0,No
219,6496-JDSSB,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,20.6,No
220,9408-SSNVZ,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.1500015258789,1734.5,Yes
221,4443-EMBNA,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,7047.5,No
222,6469-MRVET,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.200000762939453,573.15,No
223,0742-MOABM,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.04999923706055,1538.6,Yes
224,5961-VUSRV,0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.350000381469727,4459.8,No
225,6778-JFCMK,1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.599998474121094,7459.0,No
226,6341-JVQGF,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.1500015258789,306.05,No
227,2232-DMLXU,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.20000076293945,639.7,Yes
228,4811-JBUVU,1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9000015258789,348.15,No
229,0945-TSONX,0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.30000305175781,4533.9,No
230,2651-ZCBXV,1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,5563.65,No
